hw1;hw2;tw;bf1;tf1;bf2;tf2;psi;L;y
500;167;2.09;500;17.89;375;13.42;-0.75;19000;1703.681777
700;280;4.75;525;34.26;700;40.53;-0.75;28000;6745.446061
400;400;1.67;100;6.89;300;18.47;0.75;8000;143.5269339
160;400;3.43;200;9.37;100;6.89;-0.25;7200;145.4868622
100;400;1.33;300;15.16;300;4.11;1;5600;643.674997
400;100;1.33;200;5.68;300;20.68;0.75;12000;200.4849236
900;300;6.11;675;21.67;675;14.21;-0.25;30600;2724.371795
160;400;7.2;100;7.2;100;7.2;-0.5;13600;18.35369396
333;500;2.09;125;4.47;500;14.21;0.25;17000;151.9848303
1000;500;18;500;21.58;1000;57.89;-0.25;16000;16382.09947
400;160;4.65;200;6.42;100;4.65;-0.25;5600;203.6119023
75;300;1.44;300;20.68;225;13.86;1;3600;1658.072318
229;800;32;600;48;800;52.21;-1;11200;54054.9261
1000;500;4.19;250;19.08;1000;21.05;-1;26000;1090.677403
800;320;5.43;400;21.68;600;19.26;-0.5;24000;1526.319045
360;900;3.77;675;36.59;450;31.03;-0.75;16200;11714.68598
1000;250;11.61;750;18.55;1000;68.95;0.25;28000;14465.6106
600;150;2.88;600;25.89;450;9.47;0.75;8400;5845.491672
160;400;2.72;100;4.68;300;10.74;0.5;8000;63.40311444
1000;500;8.57;1000;80;250;20;1;8000;146592.9078
900;900;16.2;450;27.71;225;16.2;-0.75;30600;1297.437453
900;360;5.06;225;5.06;900;22.26;0;14400;856.5061856
1000;1000;3.71;250;6.18;1000;35.79;-0.25;20000;2412.916403
900;225;6.11;675;39.08;225;6.11;0.75;34200;2114.462826
800;533;3.84;200;3.84;800;13.89;0.5;24000;149.3883257
300;300;1.26;300;5.21;75;5.45;-0.25;3600;582.5524201
200;500;3.4;125;3.4;125;6.78;1;3000;50.29756319
133;400;1.48;200;4.95;300;8.53;0.75;8800;58.42693321
250;1000;8.57;1000;43.16;250;8.57;-1;40000;3994.722608
350;700;2.93;350;28;525;34.26;-0.75;12600;5210.301242
1000;667;6.79;500;14.21;500;14.21;-0.75;20000;2280.390214
267;800;4.5;600;45.79;400;11.37;-1;19200;4605.144125
400;800;3.84;200;7.89;200;11.58;-0.25;8000;248.9099496
240;600;4.08;300;14.05;450;36;0;8400;2999.65945
150;300;2.04;150;2.04;300;10.74;-0.25;4200;177.0681578
700;233;2.33;175;2.33;700;12.16;0.25;14000;136.0755458
300;200;5.4;225;15.51;300;17.37;0.75;1800;3291.110087
900;257;3.34;900;38.84;900;52.11;0.75;32400;9045.372835
1000;250;40;250;40;1000;40;-0.5;32000;5989.746043
300;900;3.77;450;31.03;225;17.17;0.25;16200;2164.24671
700;233;12.6;175;12.6;525;42;0.75;11200;2034.675625
1000;1000;3.33;1000;24.74;1000;80;0.25;20000;34803.78217
300;300;12;225;12;300;12;-0.25;9600;385.5912967
900;225;10.45;900;72;225;10.54;0.5;14400;41693.94379
600;900;36;900;65.37;675;36;-1;28800;24605.74895
667;1000;3.33;250;18.16;750;29.61;-0.25;6000;4709.449658
700;700;3.36;350;12.53;525;40.07;0.75;16800;1433.412993
700;233;3.94;700;7;350;3.94;-1;18200;526.3128553
700;233;3.36;175;12.71;350;22.84;-0.75;2800;3718.991839
700;700;3.36;175;8.84;175;3.68;-0.25;26600;27.9393374
1000;667;3.71;1000;68.95;500;12.37;0;36000;25507.09338
300;300;1;300;15.16;150;8.13;0.75;9600;346.0099394
