hw1,hw2,tw,bf1,tf1,bf2,tf2,psi,L,y,y_norm
400,400,16.0,100,16.0,100,16.0,0.25,8000,122.2005437,1.5175592615
400,267,1.92,100,7.26,100,2.47,-0.5,3200,105.1845128,3.5433648133
900,900,3.34,450,36.0,450,36.0,0.75,3600,46257.35302,1.0998623277
400,160,3.43,200,10.11,200,10.11,0.75,12800,62.40280844,1.2438294062
500,500,3.4,125,8.16,125,8.16,-0.5,13000,37.4115645,2.6337429892
500,200,2.81,250,17.24,375,23.09,-1.0,4000,5627.830225,2.0130849969
100,400,4.65,100,4.65,400,30.53,0.5,12800,899.5629482,4.1341718636
900,600,36.0,225,36.0,225,36.0,0.25,3600,9580.617777,1.5780092316
333,1000,4.8,1000,21.05,250,4.8,-0.25,30000,2883.142366,5.6664353137
286,1000,6.79,500,14.21,750,37.89,0.75,38000,1484.917523,1.3827556135
700,233,8.13,525,42.0,700,22.47,-0.5,25200,6121.608172,2.6422676716
500,143,3.4,125,8.62,500,14.21,-0.5,2000,1389.828067,0.2734783192
240,600,6.97,600,32.53,600,30.32,0.75,12000,6439.416762,1.1867247897
400,1000,3.33,500,40.0,750,26.84,0.25,12000,9482.199089,1.0923868892
300,150,1.26,150,5.37,150,5.37,0.5,5400,41.38907369,1.3970535553
900,225,3.34,225,13.86,225,13.86,0.0,9000,530.7472241,2.1840665572
100,400,1.33,100,3.58,300,19.58,-0.25,12000,338.5615357,5.0809638598
300,200,1.44,300,11.84,300,11.84,-0.75,6600,1256.882787,2.9906187274
700,350,4.75,700,19.89,700,19.89,-0.25,22400,4258.55676,2.4517504788
500,200,2.81,500,21.58,500,21.58,0.25,20000,1488.779685,1.6618722587
400,1000,4.8,500,32.63,750,40.66,0.25,10000,12497.18473,0.9338280637
900,225,10.45,675,49.03,900,35.53,-0.75,9000,73951.87109,2.3563241295
300,120,1.0,150,9.79,300,4.11,-0.5,7200,120.6380507,1.6439076207
100,400,2.25,100,6.16,300,4.11,0.5,800,574.1097472,0.2025425927
700,200,3.94,700,35.37,700,35.37,0.5,16800,8726.20426,1.4339204315
143,500,4.29,125,4.29,125,5.39,1.0,2000,114.4084713,0.831013108
